,address,city,province,std_unit_number,std_street_number,std_street_name,std_city,std_province,std_postal_code,std_full_address
40,1001 Lombardy St,Kingston,Ontario,,1001,Lombardy St,Kingston,ON,K7M 8M7,"1001, Lombardy St, Kingston, ON, K7M 8M7"
41,605 Truedell Rd ,Kingston ,Ontario,,605,Truedell Rd,Kingston,ON,K7M 6S7,"605, Truedell Rd, Kingston, ON, K7M 6S7"
42,Unit 108 - 835 Milford Dr ,Kingston ,Ontario,108,835,Milford Dr,Kingston,ON,K7P 1A7,"Unit 108, 835, Milford Dr, Kingston, ON, K7P 1A7"
43,771 ASHWOOD Dr ,Kingston ,Ontario,,771,ASHWOOD Dr,Kingston,ON,K7M 6X7,"771, ASHWOOD Dr, Kingston, ON, K7M 6X7"
44,1001 Lombardy Street ,Kingston ,Ontario,,1001,Lombardy St,Kingston,ON,K7M 8M7,"1001, Lombardy St, Kingston, ON, K7M 8M7"
45,605 Truedell Road ,Kingston ,Ontario,,605,Truedell Rd,Kingston,ON,K7M 6S7,"605, Truedell Rd, Kingston, ON, K7M 6S7"
46,771 ASHWOOD Drive ,Kingston ,Ontario,,771,ASHWOOD Dr,Kingston,ON,K7M 6X7,"771, ASHWOOD Dr, Kingston, ON, K7M 6X7"
47,Unit 108 - 835 Milford Drive ,Kingston ,Ontario,108,835,Milford Dr,Kingston,ON,K7P 1A7,"Unit 108, 835, Milford Dr, Kingston, ON, K7P 1A7"
48,494 Roosevelt Dr ,Kingston ,Ontario,,494,Roosevelt Dr,Kingston,ON,K7M 4B1,"494, Roosevelt Dr, Kingston, ON, K7M 4B1"
49,393 Bernice Dr ,Kingston ,Ontario,,393,Bernice Dr,Kingston,ON,K7M 5X2,"393, Bernice Dr, Kingston, ON, K7M 5X2"
50,871 Crestwood Ave ,Kingston ,Ontario,,871,Crestwood Ave,Kingston,ON,K7P 1S7,"871, Crestwood Ave, Kingston, ON, K7P 1S7"
51,494 Roosevelt Drive ,Kingston ,Ontario,,494,Roosevelt Dr,Kingston,ON,K7M 4B1,"494, Roosevelt Dr, Kingston, ON, K7M 4B1"
52,871 Crestwood Avenue ,Kingston ,Ontario,,871,Crestwood Ave,Kingston,ON,K7P 1S7,"871, Crestwood Ave, Kingston, ON, K7P 1S7"
53,393 Bernice Drive ,Kingston ,Ontario,,393,Bernice Dr,Kingston,ON,K7M 5X2,"393, Bernice Dr, Kingston, ON, K7M 5X2"
54,760 Grouse Cres ,Kingston ,Ontario,,760,Grouse Cres,Kingston,ON,K7P 1A2,"760, Grouse Cres, Kingston, ON, K7P 1A2"
55,698 Fleet St ,Kingston ,Ontario,,698,Fleet St,Kingston,ON,K7M 5A5,"698, Fleet St, Kingston, ON, K7M 5A5"
56,912 OAKVIEW St ,Kingston ,Ontario,,912,OAKVIEW St,Kingston,ON,K7M 6V6,"912, OAKVIEW St, Kingston, ON, K7M 6V6"
57,698 Fleet Street ,Kingston ,Ontario,,698,Fleet St,Kingston,ON,K7M 5A5,"698, Fleet St, Kingston, ON, K7M 5A5"
58,760 Grouse Crescent ,Kingston ,Ontario,,760,Grouse Cres,Kingston,ON,K7P 1A2,"760, Grouse Cres, Kingston, ON, K7P 1A2"
59,912 OAKVIEW Street ,Kingston ,Ontario,,912,OAKVIEW St,Kingston,ON,K7M 6V6,"912, OAKVIEW St, Kingston, ON, K7M 6V6"
60,995 Amberdale Cres ,Kingston ,Ontario,,995,Amberdale Cres,Kingston,ON,K7M 6X6,"995, Amberdale Cres, Kingston, ON, K7M 6X6"
61,995 Amberdale Crescent ,Kingston ,Ontario,,995,Amberdale Cres,Kingston,ON,K7M 6X6,"995, Amberdale Cres, Kingston, ON, K7M 6X6"
62,616 Pimlico Pl ,Kingston ,Ontario,,616,Pimlico Pl,Kingston,ON,K7M 5T8,"616, Pimlico Pl, Kingston, ON, K7M 5T8"
63,616 Pimlico Place ,Kingston ,Ontario,,616,Pimlico Pl,Kingston,ON,K7M 5T8,"616, Pimlico Pl, Kingston, ON, K7M 5T8"
64,792 Safari Dr ,Kingston ,Ontario,,792,Safari Dr,Kingston,ON,K7M 6X9,"792, Safari Dr, Kingston, ON, K7M 6X9"
65,667 Truedell Rd ,Kingston ,Ontario,,667,Truedell Rd,Kingston,ON,K7M 6W6,"667, Truedell Rd, Kingston, ON, K7M 6W6"
66,995 Waterbury Crescent ,Kingston ,Ontario,,995,Waterbury Cres,Kingston,ON,K7M 8V5,"995, Waterbury Cres, Kingston, ON, K7M 8V5"
67,Unit 305 - 675 Davis Drive W ,Kingston ,Ontario,305,675,Davis Drive W,Kingston,ON,K7M 8L5,"Unit 305, 675, Davis Drive W, Kingston, ON, K7M 8L5"
68,Unit 101 - 1010 Pembridge Crescent ,Kingston ,Ontario,101,1010,Pembridge Cres,Kingston,ON,K7P 1A3,"Unit 101, 1010, Pembridge Cres, Kingston, ON, K7P 1A3"
69,Unit 309 - 675 Davis Drive ,Kingston ,Ontario,309,675,Davis Dr,Kingston,ON,K7M 8L5,"Unit 309, 675, Davis Dr, Kingston, ON, K7M 8L5"
70,530 Canterbury Cres ,Kingston ,Ontario,,530,Canterbury Cres,Kingston,ON,K7M 6X1,"530, Canterbury Cres, Kingston, ON, K7M 6X1"
71,530 Canterbury Crescent ,Kingston ,Ontario,,530,Canterbury Cres,Kingston,ON,K7M 6X1,"530, Canterbury Cres, Kingston, ON, K7M 6X1"
72,490 Kirkwood Rd ,Kingston ,Ontario,,490,Kirkwood Rd,Kingston,ON,K7M 3X2,"490, Kirkwood Rd, Kingston, ON, K7M 3X2"
73,829 Larchwood Cres ,Kingston ,Ontario,,829,Larchwood Cres,Kingston,ON,K7P 2P8,"829, Larchwood Cres, Kingston, ON, K7P 2P8"
74,490 Kirkwood Road ,Kingston ,Ontario,,490,Kirkwood Rd,Kingston,ON,K7M 3X2,"490, Kirkwood Rd, Kingston, ON, K7M 3X2"
75,829 Larchwood Crescent ,Kingston ,Ontario,,829,Larchwood Cres,Kingston,ON,K7P 2P8,"829, Larchwood Cres, Kingston, ON, K7P 2P8"
76,1097 Craig Lane ,Kingston ,Ontario,,1097,Craig Ln,Kingston,ON,K7M 7W6,"1097, Craig Ln, Kingston, ON, K7M 7W6"
77,633 Davis Drive ,Kingston ,Ontario,,633,Davis Dr,Kingston,ON,K7M 7Y6,"633, Davis Dr, Kingston, ON, K7M 7Y6"
78,1512 Crimson Cres ,Kingston ,Ontario,,1512,Crimson Cres,Kingston,ON,K7P 0H4,"1512, Crimson Cres, Kingston, ON, K7P 0H4"
79,1512 Crimson Crescent ,Kingston ,Ontario,,1512,Crimson Cres,Kingston,ON,K7P 0H4,"1512, Crimson Cres, Kingston, ON, K7P 0H4"
80,842 Milford Drive ,Kingston ,Ontario,,842,Milford Dr,Kingston,ON,K7P 1A8,"842, Milford Dr, Kingston, ON, K7P 1A8"
81,880 Winchester Lane ,Kingston ,Ontario,,880,Winchester Ln,Kingston,ON,K7P 2S6,"880, Winchester Ln, Kingston, ON, K7P 2S6"
82,269 HOLDEN Street ,Kingston ,Ontario,,269,HOLDEN St,Kingston,ON,K7P 0L1,"269, HOLDEN St, Kingston, ON, K7P 0L1"
83,781 Downing Street ,Kingston ,Ontario,,781,Downing St,Kingston,ON,K7M 5N3,"781, Downing St, Kingston, ON, K7M 5N3"
84,1097 Pinewood Place ,Kingston ,Ontario,,1097,Pinewood Pl,Kingston,ON,K7P 1L1,"1097, Pinewood Pl, Kingston, ON, K7P 1L1"
85,1105 Dunham Street ,Kingston ,Ontario,,1105,Dunham St,Kingston,ON,K7P 2K2,"1105, Dunham St, Kingston, ON, K7P 2K2"
86,355 Tanglewood Drive ,Kingston ,Ontario,,355,Tanglewood Dr,Kingston,ON,K7M 8T8,"355, Tanglewood Dr, Kingston, ON, K7M 8T8"
87,792 Clark Crescent ,Kingston ,Ontario,,792,Clark Cres,Kingston,ON,K7M 6J4,"792, Clark Cres, Kingston, ON, K7M 6J4"
88,871 Larchwood Crescent ,Kingston ,Ontario,,871,Larchwood Cres,Kingston,ON,K7P 2P8,"871, Larchwood Cres, Kingston, ON, K7P 2P8"
89,Unit 307 - 835 Milford Drive ,Kingston ,Ontario,307,835,Milford Dr,Kingston,ON,K7P 1A7,"Unit 307, 835, Milford Dr, Kingston, ON, K7P 1A7"
90,1949 BATH Road ,Kingston ,Ontario,,1949,BATH Rd,Kingston,ON,K7M 4Y3,"1949, BATH Rd, Kingston, ON, K7M 4Y3"
91,423 Carrie Crescent ,Kingston ,Ontario,,423,Carrie Cres,Kingston,ON,K7M 5X7,"423, Carrie Cres, Kingston, ON, K7M 5X7"
92,1034 Craig Lane ,Kingston ,Ontario,,1034,Craig Ln,Kingston,ON,K7M 7R8,"1034, Craig Ln, Kingston, ON, K7M 7R8"
93,782 Cedarwood Drive ,Kingston ,Ontario,,782,Cedarwood Dr,Kingston,ON,K7P 1M7,"782, Cedarwood Dr, Kingston, ON, K7P 1M7"
94,1070 Dillingham Street ,Kingston ,Ontario,,1070,Dillingham St,Kingston,ON,K7P 2P4,"1070, Dillingham St, Kingston, ON, K7P 2P4"
95,913 Lancaster Drive ,Kingston ,Ontario,,913,Lancaster Dr,Kingston,ON,K7P 1R8,"913, Lancaster Dr, Kingston, ON, K7P 1R8"
96,767 Downing Street ,Kingston ,Ontario,,767,Downing St,Kingston,ON,K7M 5N1,"767, Downing St, Kingston, ON, K7M 5N1"
97,Unit 107 - 845 Milford Drive ,Kingston ,Ontario,107,845,Milford Dr,Kingston,ON,K7P 1A7,"Unit 107, 845, Milford Dr, Kingston, ON, K7P 1A7"
98,481 Citation Crescent ,Kingston ,Ontario,,481,Citation Cres,Kingston,ON,K7M 8W2,"481, Citation Cres, Kingston, ON, K7M 8W2"
99,771 Birkley Place ,Kingston ,Ontario,,771,Birkley Pl,Kingston,ON,K7M 6Y3,"771, Birkley Pl, Kingston, ON, K7M 6Y3"
