,address,city_province,std_unit_number,std_street_number,std_street_name,std_city,std_province,std_postal_code,std_full_address
62,2536 4 Ave NW,Calgary AB T2N 0P4,,2536,4 Ave Nw,Calgary,AB,T2N0P4,"2536 4 Ave Nw, Calgary, AB, T2N0P4"
63,3116 Winspear Cres SW,Edmonton AB T6X 1P3,,3116,Winspear Cres Sw,Edmonton,AB,T6X1P3,"3116 Winspear Cres Sw, Edmonton, AB, T6X1P3"
64,716 40 St SW,Edmonton AB T6X 2G4,,716,40 St Sw,Edmonton,AB,T6X2G4,"716 40 St Sw, Edmonton, AB, T6X2G4"
65,1253 Adamson Dr SW,Edmonton AB T6W 1Z4,,1253,Adamson Dr Sw,Edmonton,AB,T6W1Z4,"1253 Adamson Dr Sw, Edmonton, AB, T6W1Z4"
66,1959 Montclair Ave,Orléans ON K1W 1H9,,1959,Montclair Ave,Orléans,ON,K1W1H9,"1959 Montclair Ave, Orléans, ON, K1W1H9"
67,415 Hepatica Way,Orléans ON K4A 1G3,,415,Hepatica Way,Orléans,ON,K4A1G3,"415 Hepatica Way, Orléans, ON, K4A1G3"
68,156 Aquarium Ave,Orléans ON K4A 1L1,,156,Aquarium Ave,Orléans,ON,K4A1L1,"156 Aquarium Ave, Orléans, ON, K4A1L1"
69,1606-1111 10 St SW,Calgary AB T2R 1E3,1606.0,1111,10 St Sw,Calgary,AB,T2R1E3,"1111 10 St Sw, Unit 1606, Calgary, AB, T2R1E3"
70,3205-930 6 Ave SW,Calgary AB T2P 1J3,3205.0,930,6 Ave Sw,Calgary,AB,T2P1J3,"930 6 Ave Sw, Unit 3205, Calgary, AB, T2P1J3"
71,Unit 2602 - 510 6 Avenue SE,"Calgary , Alberta, T2G 0H1",2602.0,510,6 Avenue Se,"Calgary ,",AB,T2G0H1,"510 6 Avenue Se, Unit 2602, Calgary ,, AB, T2G0H1"
72,3018 Arthurs Cres SW,Edmonton AB T6W 2H9,,3018,Arthurs Cres Sw,Edmonton,AB,T6W2H9,"3018 Arthurs Cres Sw, Edmonton, AB, T6W2H9"
73,146 Allard Link SW,Edmonton AB T6W 2J1,,146,Allard Link Sw,Edmonton,AB,T6W2J1,"146 Allard Link Sw, Edmonton, AB, T6W2J1"
74,645 Allard Blvd SW,Edmonton AB T6W 2G3,,645,Allard Blvd Sw,Edmonton,AB,T6W2G3,"645 Allard Blvd Sw, Edmonton, AB, T6W2G3"
75,283 Falsetto St,Orléans ON K1W 0S4,,283,Falsetto St,Orléans,ON,K1W0S4,"283 Falsetto St, Orléans, ON, K1W0S4"
76,783 Percifor Way,Orléans ON K1W 0E5,,783,Percifor Way,Orléans,ON,K1W0E5,"783 Percifor Way, Orléans, ON, K1W0E5"
77,178 Joshua St,Orléans ON K1W 0C4,,178,Joshua St,Orléans,ON,K1W0C4,"178 Joshua St, Orléans, ON, K1W0C4"
78,924 15 Ave NE,Calgary AB T2E 1J1,,924,15 Ave Ne,Calgary,AB,T2E1J1,"924 15 Ave Ne, Calgary, AB, T2E1J1"
79,632 12 Ave NE,Calgary AB T2E 1B1,,632,12 Ave Ne,Calgary,AB,T2E1B1,"632 12 Ave Ne, Calgary, AB, T2E1B1"
80,3310 Centre St NE,Calgary AB T2E 2X8,,3310,Centre St Ne,Calgary,AB,T2E2X8,"3310 Centre St Ne, Calgary, AB, T2E2X8"
81,2207-950 Arbour Lake Rd NW,Calgary AB T3G 5B3,2207.0,950,Arbour Lake Rd Nw,Calgary,AB,T3G5B3,"950 Arbour Lake Rd Nw, Unit 2207, Calgary, AB, T3G5B3"
82,215-88 Arbour Lake Rd NW,Calgary AB T3G 0C2,215.0,88,Arbour Lake Rd Nw,Calgary,AB,T3G0C2,"88 Arbour Lake Rd Nw, Unit 215, Calgary, AB, T3G0C2"
83,206-88 Arbour Lake Rd NW,Calgary AB T3G 0C2,206.0,88,Arbour Lake Rd Nw,Calgary,AB,T3G0C2,"88 Arbour Lake Rd Nw, Unit 206, Calgary, AB, T3G0C2"
84,4 Rockcliff Pt NW,Calgary AB T3G 5Z4,,4,Rockcliff Pt Nw,Calgary,AB,T3G5Z4,"4 Rockcliff Pt Nw, Calgary, AB, T3G5Z4"
85,61 Rockford Rd NW,Calgary AB T3G 0E1,,61,Rockford Rd Nw,Calgary,AB,T3G0E1,"61 Rockford Rd Nw, Calgary, AB, T3G0E1"
86,1 Rock Lake Pt NW,Calgary AB T3G 0E9,,1,Rock Lake Pt Nw,Calgary,AB,T3G0E9,"1 Rock Lake Pt Nw, Calgary, AB, T3G0E9"
87,216-100 Auburn Meadows Manor SE,Calgary AB T3M 3H2,216.0,100,Auburn Meadows Manor Se,Calgary,AB,T3M3H2,"100 Auburn Meadows Manor Se, Unit 216, Calgary, AB, T3M3H2"
88,411-25 Auburn Meadows Ave SE,Calgary AB T3M 2L3,411.0,25,Auburn Meadows Ave Se,Calgary,AB,T3M2L3,"25 Auburn Meadows Ave Se, Unit 411, Calgary, AB, T3M2L3"
89,105-22 Auburn Bay Link SE,Calgary AB T3M 1Z8,105.0,22,Auburn Bay Link Se,Calgary,AB,T3M1Z8,"22 Auburn Bay Link Se, Unit 105, Calgary, AB, T3M1Z8"
90,20 Creekside Way,Mill Cove NS B0J 1T0,,20,Creekside Way,Mill Cove,NS,B0J1T0,"20 Creekside Way, Mill Cove, NS, B0J1T0"
91,102 Deeridge Rd,Black Point NS B0J 1T0,,102,Deeridge Rd,Black Point,NS,B0J1T0,"102 Deeridge Rd, Black Point, NS, B0J1T0"
92,5296 Highway 329,Blandford NS B0J 1T0,,5296,Highway 329,Blandford,NS,B0J1T0,"5296 Highway 329, Blandford, NS, B0J1T0"
93,904-71 Simcoe St,Toronto ON M5J 2S9,904.0,71,Simcoe St,Toronto,ON,M5J2S9,"71 Simcoe St, Unit 904, Toronto, ON, M5J2S9"
94,3103-126 Simcoe St,Toronto ON M5H 4E6,3103.0,126,Simcoe St,Toronto,ON,M5H4E6,"126 Simcoe St, Unit 3103, Toronto, ON, M5H4E6"
95,2805-361 Front St W,Toronto ON M5V 3R5,2805.0,361,Front St W,Toronto,ON,M5V3R5,"361 Front St W, Unit 2805, Toronto, ON, M5V3R5"
96,57 Morenz Terr,Kanata ON K2K 3H2,,57,Morenz Terr,Kanata,ON,K2K3H2,"57 Morenz Terr, Kanata, ON, K2K3H2"
97,90 Kinmount Pvt,Kanata ON K2T 1K1,,90,Kinmount Pvt,Kanata,ON,K2T1K1,"90 Kinmount Pvt, Kanata, ON, K2T1K1"
98,41 Coulson Crt,Kanata ON K2K 2Z5,,41,Coulson Crt,Kanata,ON,K2K2Z5,"41 Coulson Crt, Kanata, ON, K2K2Z5"
99,1 Partridge Nest Dr,Mineville NS B2Z 1J8,,1,Partridge Nest Dr,Mineville,NS,B2Z1J8,"1 Partridge Nest Dr, Mineville, NS, B2Z1J8"
